,Bus,Ferry,Other,Rail
1/2002,442266512.0,4318959.0,32992144.0,273233906.0
2/2002,425855861.0,4323800.0,30168968.0,258535438.0
3/2002,452837084.0,4596096.0,33238718.0,286208828.0
4/2002,450735736.0,4761172.0,33453430.0,290218801.0
5/2002,453627069.0,5001069.0,34575957.0,296419463.0
6/2002,403743216.0,5091126.0,32444551.0,279553172.0
7/2002,418540701.0,5698655.0,35327289.0,283420771.0
8/2002,423674577.0,5825780.0,35430710.0,277283195.0
9/2002,449117631.0,4876798.0,33515024.0,276957752.0
10/2002,461044677.0,4746914.0,36265803.0,301184619.0
11/2002,426397265.0,4466762.0,33782235.0,274026065.0
12/2002,409443550.0,4453255.0,33777504.0,269782909.0
1/2003,429460121.0,4451571.0,34658954.0,268329642.0
2/2003,415041483.0,4228856.0,31308175.0,245704732.0
3/2003,463124556.0,4607508.0,34928854.0,283735623.0
4/2003,442794578.0,4727634.0,35184987.0,280099113.0
5/2003,443159761.0,5001098.0,34589871.0,280717944.0
6/2003,405344526.0,5162993.0,34356082.0,274720755.0
7/2003,419555377.0,5864821.0,35465340.0,279551151.0
8/2003,421895386.0,5870829.0,34394659.0,256749031.0
9/2003,427435313.0,5043173.0,34961414.0,283792980.0
10/2003,458130771.0,4908177.0,36140636.0,302763718.0
11/2003,389901420.0,4334131.0,32932087.0,269736224.0
12/2003,412302532.0,4285535.0,34222963.0,283187737.0
1/2004,421536839.0,3832480.0,33671211.0,271616193.0
2/2004,422407699.0,3881752.0,31894372.0,271237595.0
3/2004,477218695.0,4699853.0,35981811.0,312237876.0
4/2004,446804660.0,4777670.0,34698400.0,297442172.0
5/2004,443254985.0,4989750.0,34095415.0,299293536.0
6/2004,424675475.0,5268119.0,35498700.0,306428342.0
7/2004,416553098.0,5696177.0,34377427.0,294261787.0
8/2004,431032271.0,5708786.0,35846884.0,291624094.0
9/2004,452341611.0,4772995.0,34518368.0,291972745.0
10/2004,471669777.0,4778419.0,35070193.0,307578927.0
11/2004,442495633.0,4370884.0,35477085.0,294584530.0
12/2004,443559258.0,4274968.0,35418820.0,295245631.0
1/2005,430174917.0,3812066.0,34112918.0,279668470.0
2/2005,417185514.0,3801374.0,32725722.0,274168961.0
3/2005,489662281.0,4608678.0,36647115.0,315057302.0
4/2005,458883038.0,4572512.0,35321634.0,302024026.0
5/2005,470802215.0,4562923.0,36056181.0,308483732.0
6/2005,439694705.0,4943826.0,36698452.0,312210588.0
7/2005,437267296.0,5610774.0,35499053.0,293948744.0
8/2005,457328613.0,5640166.0,37619013.0,304912083.0
9/2005,478352613.0,4824850.0,36339277.0,304313884.0
10/2005,490170054.0,4435033.0,36714318.0,317529784.0
11/2005,452579903.0,3975194.0,36779639.0,309665461.0
12/2005,425658491.0,3971719.0,36067603.0,282132240.0
1/2006,453064599.0,3795310.0,35249507.0,297647140.0
2/2006,426457379.0,3553204.0,32982814.0,278478997.0
3/2006,499521682.0,4170032.0,37142250.0,325530998.0
4/2006,440242068.0,4279531.0,34894543.0,300649520.0
5/2006,473223787.0,4785847.0,37599997.0,328552137.0
6/2006,463955198.0,4892939.0,37518532.0,326753685.0
7/2006,430948849.0,5454497.0,36446217.0,303999632.0
8/2006,461122100.0,5498031.0,38670138.0,320768565.0
9/2006,474199811.0,4634288.0,36146179.0,322908670.0
10/2006,500358858.0,4387472.0,37995366.0,327511904.0
11/2006,452155138.0,3955418.0,37571513.0,324631824.0
12/2006,439826562.0,4104147.0,35783199.0,305630371.0
1/2007,448506587.0,3692898.0,37026198.0,312313018.0
2/2007,424522931.0,3642225.0,33913074.0,291016384.0
3/2007,486950033.0,4085131.0,37922439.0,340647000.0
4/2007,453279886.0,4243687.0,37199887.0,323511238.0
